start_time_hour,sunset_time_hour,rat_period_start_hour,rat_period_end_hour,rat_activity_minutes,time_after_sunset_minutes,start_month,start_dayofweek,start_day_index,habit_category_neutral_response,habit_category_uncertain
23.9,19.233333333333334,23.833333333333332,23.933333333333334,6.0,280.0,4,5,116,1,0
23.916666666666668,19.233333333333334,23.833333333333332,23.933333333333334,6.0,281.0,4,5,116,1,0
1.4166666666666667,19.233333333333334,1.4166666666666667,1.4333333333333333,1.0,-1069.0,4,6,117,1,0
1.4166666666666667,19.233333333333334,1.4166666666666667,1.4333333333333333,1.0,-1069.0,4,6,117,1,0
1.4333333333333333,19.233333333333334,1.4166666666666667,1.4333333333333333,1.0,-1068.0,4,6,117,1,0
1.8166666666666667,19.233333333333334,1.8,1.8333333333333335,2.0,-1045.0,4,6,117,1,0
1.8166666666666667,19.233333333333334,1.8,1.8333333333333335,2.0,-1045.0,4,6,117,1,0
1.8333333333333335,19.233333333333334,1.8,1.8333333333333335,2.0,-1044.0,4,6,117,1,0
2.216666666666667,19.233333333333334,2.216666666666667,2.283333333333333,4.0,-1021.0,4,6,117,1,0
2.25,19.233333333333334,2.216666666666667,2.283333333333333,4.0,-1019.0,4,6,117,1,0
2.2666666666666666,19.233333333333334,2.216666666666667,2.283333333333333,4.0,-1018.0,4,6,117,1,0
3.6,19.233333333333334,3.5166666666666666,3.7333333333333334,13.0,-938.0,4,6,117,1,0
3.65,19.233333333333334,3.5166666666666666,3.7333333333333334,13.0,-935.0,4,6,117,1,0
3.65,19.233333333333334,3.5166666666666666,3.7333333333333334,13.0,-935.0,4,6,117,1,0
3.7,19.233333333333334,3.5166666666666666,3.7333333333333334,13.0,-932.0,4,6,117,1,0
3.716666666666667,19.233333333333334,3.5166666666666666,3.7333333333333334,13.0,-931.0,4,6,117,1,0
3.716666666666667,19.233333333333334,3.5166666666666666,3.7333333333333334,13.0,-931.0,4,6,117,1,0
3.716666666666667,19.233333333333334,3.5166666666666666,3.7333333333333334,13.0,-931.0,4,6,117,0,0
3.7333333333333334,19.233333333333334,3.5166666666666666,3.7333333333333334,13.0,-930.0,4,6,117,0,0
5.45,19.233333333333334,5.35,5.916666666666667,34.0,-827.0,4,6,117,1,0
5.316666666666666,19.183333333333334,5.25,5.416666666666667,10.0,-832.0,4,2,113,1,0
19.133333333333333,19.316666666666666,19.133333333333333,19.266666666666666,8.0,-11.0,4,5,123,1,0
19.166666666666668,19.316666666666666,19.133333333333333,19.266666666666666,8.0,-9.0,4,5,123,1,0
19.166666666666668,19.316666666666666,19.133333333333333,19.266666666666666,8.0,-9.0,4,5,123,1,0
20.65,19.316666666666666,20.616666666666667,20.733333333333334,7.0,80.0,4,5,123,1,0
20.666666666666668,19.316666666666666,20.616666666666667,20.733333333333334,7.0,81.0,4,5,123,1,0
20.733333333333334,19.316666666666666,20.616666666666667,20.733333333333334,7.0,85.0,4,5,123,0,0
21.5,19.316666666666666,21.5,21.516666666666666,1.0,131.0,4,5,123,0,0
21.516666666666666,19.316666666666666,21.5,21.516666666666666,1.0,132.0,4,5,123,0,0
23.033333333333335,19.316666666666666,23.016666666666666,23.2,11.0,223.0,4,5,123,1,0
23.066666666666666,19.316666666666666,23.016666666666666,23.2,11.0,225.0,4,5,123,1,0
23.35,19.316666666666666,23.35,23.4,3.0,242.0,4,5,123,1,0
23.366666666666667,19.316666666666666,23.35,23.4,3.0,243.0,4,5,123,0,0
23.383333333333333,19.316666666666666,23.35,23.4,3.0,244.0,4,5,123,1,0
23.4,19.316666666666666,23.35,23.4,3.0,245.0,4,5,123,1,0
0.36666666666666664,19.316666666666666,0.36666666666666664,0.45,5.0,-1137.0,4,6,124,0,0
0.38333333333333336,19.316666666666666,0.36666666666666664,0.45,5.0,-1136.0,4,6,124,0,0
0.4166666666666667,19.316666666666666,0.36666666666666664,0.45,5.0,-1134.0,4,6,124,0,0
0.45,19.316666666666666,0.36666666666666664,0.45,5.0,-1132.0,4,6,124,1,0
0.9166666666666666,19.316666666666666,0.9166666666666666,0.9333333333333333,1.0,-1104.0,4,6,124,1,0
0.9166666666666666,19.316666666666666,0.9166666666666666,0.9333333333333333,1.0,-1104.0,4,6,124,0,0
1.05,19.316666666666666,1.0333333333333334,1.1,4.0,-1096.0,4,6,124,0,0
1.05,19.316666666666666,1.0333333333333334,1.1,4.0,-1096.0,4,6,124,0,0
1.05,19.316666666666666,1.0333333333333334,1.1,4.0,-1096.0,4,6,124,0,0
1.05,19.316666666666666,1.0333333333333334,1.1,4.0,-1096.0,4,6,124,1,0
1.0666666666666667,19.316666666666666,1.0333333333333334,1.1,4.0,-1095.0,4,6,124,0,0
