bat_landing_to_food,risk,reward,month,season,bat_start_hour,sin_hour,cos_hour,bat_landing_to_food_lag1,log1p_seconds_after_rat_arrival,log1p_hours_after_sunset,log1p_bat_start_hour,log1p_rat_start_hour,log1p_rat_end_hour
6.0,1,0,4,1,1,0.9976941607139989,0.06787018253393315,2.0,4.204692619390966,1.9081423482335529,0.6931471805599453,0.6931471805599453,0.6931471805599453
5.0,1,0,4,1,1,0.9977530087143398,0.0669995044868429,6.0,4.3694478524670215,1.9086367450300235,0.6931471805599453,0.6931471805599453,0.6931471805599453
3.0,0,1,4,1,1,0.9977966460815071,0.06634646236609562,5.0,4.477336814478207,1.90900738232449,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.069546705,1,0,4,1,1,0.9980084211841275,0.06308083104688172,3.0,4.890349128221754,1.9108585110128338,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.035887407,1,0,4,1,1,0.9980585628952042,0.06228246166907473,0.069546705,4.969813299576001,1.9113104883394916,0.6931471805599453,0.6931471805599453,0.6931471805599453
5.0,0,1,4,1,1,0.9981876932544914,0.06017747946929354,0.035887407,5.153291594497779,1.9125010869241836,0.6931471805599453,0.6931471805599453,0.6931471805599453
6.0,0,1,4,1,1,0.9982311916064921,0.059451560987773565,5.0,5.209486152841421,1.9129113097137014,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.087634798,0,1,4,1,1,0.9983334336995451,0.057709229397698014,6.0,5.332718793265369,1.9138951581820258,0.6931471805599453,0.6931471805599453,0.6931471805599453
3.0,0,1,4,1,1,0.9983543513726647,0.05734622128149221,0.087634798,5.356586274672012,1.9141000048714074,0.6931471805599453,0.6931471805599453,0.6931471805599453
3.0,1,0,4,1,0,0.9984609954568422,0.05545845788814981,3.0,2.5649493574615367,1.9151645317816224,0.0,0.0,0.0
4.0,0,1,4,1,0,0.9985129789445204,0.05451450155086967,3.0,3.258096538021482,1.9156963705078964,0.0,0.0,0.0
22.0,1,0,4,1,0,0.9986447164154125,0.05204546450537607,4.0,4.0943445622221,1.917085997510422,0.0,0.0,0.0
1.0,0,1,4,1,1,0.9987486219482312,0.050011900148956005,22.0,2.995732273553991,1.918228948112435,0.6931471805599453,0.6931471805599453,0.6931471805599453
2.0,0,1,4,1,0,0.9987847275340721,0.04928557643661433,1.0,4.584967478670572,1.9186368283970665,0.0,0.0,0.0
0.063724824,0,1,4,1,1,0.998806137337171,0.048849769882775625,2.0,3.58351893845611,1.9188814766184703,0.6931471805599453,0.6931471805599453,0.6931471805599453
5.0,1,0,4,1,1,0.9988308751182402,0.04834131680592076,0.063724824,3.7612001156935624,1.919166824112409,0.6931471805599453,0.6931471805599453,0.6931471805599453
2.0,0,1,4,1,0,0.9988378955061028,0.0481960423783908,5.0,4.727387818712341,1.9192483369099766,0.0,0.0,0.0
6.0,0,1,4,1,1,0.9989406658269196,0.04601680298836999,2.0,4.31748811353631,1.9204702335429427,0.6931471805599453,0.6931471805599453,0.6931471805599453
4.0,0,1,4,1,0,0.9991767892008868,0.04056776950001771,6.0,5.384495062789089,1.9235184587404122,0.0,0.0,0.0
4.0,0,1,3,1,0,0.9992233155585795,0.03940514743176971,4.0,4.276666119016055,1.924167545919409,0.0,0.0,0.0
0.046019395,1,0,3,1,0,0.9995313673739108,0.030611201146641343,4.0,5.262690188904886,1.929062674864112,0.0,0.0,0.0
1.0,1,0,4,1,0,0.9995380219122223,0.030393136590384492,0.046019395,5.8805329864007,1.9291837377483776,0.0,0.0,0.0
9.0,0,1,3,1,0,0.9995916262687464,0.02857587607410744,1.0,5.3981627015177525,1.9301920258977014,0.0,0.0,0.0
18.0,0,1,3,1,0,0.9996301559047152,0.027194694444225283,9.0,5.480638923341991,1.9309576456155797,0.0,0.0,0.0
14.0,1,0,3,1,0,0.999651590263624,0.02639503899234814,18.0,5.5254529391317835,1.9314006314110292,0.0,0.0,0.0
14.0,1,0,4,1,0,0.9996630121073671,0.025958856377468757,14.0,6.037870919922137,1.931642177209305,0.0,0.0,0.0
2.0,1,0,3,1,0,0.9996779451872778,0.025377271447931005,14.0,5.579729825986222,1.931964147783984,0.0,0.0,0.0
3.0,0,1,3,1,0,0.9996797880259849,0.025304572952768174,2.0,5.583496308781699,1.9320043866910972,0.0,0.0,0.0
12.0,1,0,3,1,0,0.9997050327221896,0.024286777265125896,3.0,5.634789603169249,1.9325675630365091,0.0,0.0,0.0
15.0,0,1,3,1,0,0.9997326149398563,0.02312355131715152,12.0,5.69035945432406,1.9332108050784627,0.0,0.0,0.0
1.0,0,1,4,1,1,0.9997588436583899,0.021960294324969015,15.0,4.663439094112067,1.9338536334814644,0.6931471805599453,0.6931471805599453,0.6931471805599453
26.0,1,0,5,1,1,0.9998280626743902,0.01854306039400684,1.0,6.180016653652572,1.9357395558990422,0.6931471805599453,0.6931471805599453,0.6931471805599453
2.0,0,1,4,1,1,0.9998673251253148,0.01628901920767615,26.0,5.214935757608986,1.9369815183430428,0.6931471805599453,0.6931471805599453,0.6931471805599453
2.0,0,1,3,1,0,0.9999075347030432,0.013598604490263852,2.0,6.056784013228625,1.9384618443169541,0.0,0.0,0.0
1.0,0,1,4,1,0,0.9999397090985384,0.010980809074494582,2.0,6.437751649736401,1.9399000611761728,0.0,0.0,0.0
11.0,1,0,3,1,0,0.9999702893725954,0.007708461071307574,1.0,6.230481447578482,1.941694928339204,0.0,0.0,0.0
0.069936967,0,1,4,1,1,0.9999994817273218,-0.0010181085835327158,11.0,3.9889840465642745,1.9464655503628774,0.6931471805599453,0.6931471805599453,0.6931471805599453
1.0,0,1,4,1,1,0.9999951107889904,-0.0031270430305335474,0.069936967,4.418840607796598,1.9476150440384397,0.6931471805599453,0.6931471805599453,0.6931471805599453
1.0,0,1,4,1,1,0.9999907953851915,-0.004290587942456519,1.0,4.59511985013459,1.9482486824106113,0.6931471805599453,0.6931471805599453,0.6931471805599453
4.0,0,1,4,1,1,0.9999898355264951,-0.004508751899715768,1.0,4.624972813284271,1.948367444858051,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.038141769,0,1,4,1,1,0.9999895049963164,-0.004581473258891465,4.0,1.791759469228055,1.9484070292539004,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.036982956,1,0,4,1,1,0.9999859088328712,-0.005308684930997448,0.038141769,4.727387818712341,1.9488027867705366,0.6931471805599453,0.6931471805599453,0.6931471805599453
1.0,1,0,4,1,1,0.9999826511361778,-0.0058904521610270225,0.036982956,4.795790545596741,1.9491192799962618,0.6931471805599453,0.6931471805599453,0.6931471805599453
2.0,0,1,4,1,1,0.9999790549816339,-0.0064722173973520095,1.0,4.859812404361672,1.9494356730857165,0.6931471805599453,0.6931471805599453,0.6931471805599453
0.09694048,1,1,4,1,1,0.9999756307047856,-0.006981260385225791,2.0,3.6635616461296463,1.9497124350524901,0.6931471805599453,0.6931471805599453,0.6931471805599453
2.0,0,1,4,1,1,0.9999644192045415,-0.008435657942564283,0.09694048,4.07753744390572,1.950502761419394,0.6931471805599453,0.6931471805599453,0.6931471805599453
4.0,0,1,4,1,1,0.9999474301565606,-0.010253629761717656,2.0,5.198497031265826,1.951489791998759,0.6931471805599453,0.6931471805599453,0.6931471805599453
15.0,1,1,4,1,1,0.9999451693655121,-0.010471784116245747,4.0,4.343805421853684,1.951608170169951,0.6931471805599453,0.6931471805599453,0.6931471805599453
3.0,1,0,4,1,1,0.9999381014269527,-0.011126244409562242,15.0,4.454347296253507,1.9519632207683906,0.6931471805599453,0.6931471805599453,0.6931471805599453
2.0,0,1,4,1,1,0.9999171594834201,-0.012871447883149263,3.0,4.787491742782046,1.9529094065752097,0.6931471805599453,0.6931471805599453,0.6931471805599453
